Test Case,numCubic,numPrague,numBackgroundUdp,numBytes,duration,wanLinkDelay,mcs,channelWidth,spatialStreams,flowControl,wifiQueueSize,limit,scale
MS1-AP0-LS2-TC3-TS1,1,1,1,0,30,"""1ms""",6,80,2,0,"""8000p""",188366,1
MS1-AP1-LS2-TC3-TS1,1,1,1,0,30,"""1ms""",6,80,2,1,"""8000p""",188366,1
MS1-AP0-LS2-TC4-TS1,2,2,1,0,30,"""1ms""",6,80,2,0,"""8000p""",188366,1
MS1-AP1-LS2-TC4-TS1,2,2,1,0,30,"""1ms""",6,80,2,1,"""8000p""",188366,1
MS1-AP0-LS2-TC5-TS1,4,4,1,0,30,"""1ms""",6,80,2,0,"""8000p""",188366,1
MS1-AP1-LS2-TC5-TS1,4,4,1,0,30,"""1ms""",6,80,2,1,"""8000p""",188366,1
MS1-AP0-LS2-TC1-TS2,1,0,1,0,30,"""5ms""",6,80,2,0,"""8000p""",188366,1
MS1-AP1-LS2-TC1-TS2,1,0,1,0,30,"""5ms""",6,80,2,1,"""8000p""",188366,1
MS1-AP0-LS2-TC2-TS2,0,1,1,0,30,"""5ms""",6,80,2,0,"""8000p""",188366,1
MS1-AP1-LS2-TC2-TS2,0,1,1,0,30,"""5ms""",6,80,2,1,"""8000p""",188366,1
MS1-AP0-LS2-TC3-TS2,1,1,1,0,30,"""5ms""",6,80,2,0,"""8000p""",188366,1
MS1-AP1-LS2-TC3-TS2,1,1,1,0,30,"""5ms""",6,80,2,1,"""8000p""",188366,1
MS1-AP0-LS2-TC4-TS2,2,2,1,0,30,"""5ms""",6,80,2,0,"""8000p""",188366,1
MS1-AP1-LS2-TC4-TS2,2,2,1,0,30,"""5ms""",6,80,2,1,"""8000p""",188366,1
MS1-AP0-LS2-TC5-TS2,4,4,1,0,30,"""5ms""",6,80,2,0,"""8000p""",188366,1
MS1-AP1-LS2-TC5-TS2,4,4,1,0,30,"""5ms""",6,80,2,1,"""8000p""",188366,1
MS1-AP0-LS2-TC1-TS3,1,0,1,0,30,"""25ms""",6,80,2,0,"""8000p""",188366,1
MS1-AP1-LS2-TC1-TS3,1,0,1,0,30,"""25ms""",6,80,2,1,"""8000p""",188366,1
MS1-AP0-LS2-TC2-TS3,0,1,1,0,30,"""25ms""",6,80,2,0,"""8000p""",188366,1
MS1-AP1-LS2-TC2-TS3,0,1,1,0,30,"""25ms""",6,80,2,1,"""8000p""",188366,1
MS1-AP0-LS2-TC3-TS3,1,1,1,0,30,"""25ms""",6,80,2,0,"""8000p""",188366,1
MS1-AP1-LS2-TC3-TS3,1,1,1,0,30,"""25ms""",6,80,2,1,"""8000p""",188366,1
MS1-AP0-LS2-TC4-TS3,2,2,1,0,30,"""25ms""",6,80,2,0,"""8000p""",188366,1
MS1-AP1-LS2-TC4-TS3,2,2,1,0,30,"""25ms""",6,80,2,1,"""8000p""",188366,1
MS1-AP0-LS2-TC5-TS3,4,4,1,0,30,"""25ms""",6,80,2,0,"""8000p""",188366,1
MS1-AP1-LS2-TC5-TS3,4,4,1,0,30,"""25ms""",6,80,2,1,"""8000p""",188366,1
MS1-AP0-LS1-TC1-TS1,1,0,1,0,30,"""1ms""",6,20,2,0,"""8000p""",46318,1
MS1-AP1-LS1-TC1-TS1,1,0,1,0,30,"""1ms""",6,20,2,1,"""8000p""",46318,1
MS1-AP0-LS1-TC2-TS1,0,1,1,0,30,"""1ms""",6,20,2,0,"""8000p""",46318,1
MS1-AP1-LS1-TC2-TS1,0,1,1,0,30,"""1ms""",6,20,2,1,"""8000p""",46318,1
MS1-AP0-LS1-TC3-TS1,1,1,1,0,30,"""1ms""",6,20,2,0,"""8000p""",46318,1
MS1-AP1-LS1-TC3-TS1,1,1,1,0,30,"""1ms""",6,20,2,1,"""8000p""",46318,1
MS1-AP0-LS1-TC4-TS1,2,2,1,0,30,"""1ms""",6,20,2,0,"""8000p""",46318,1
MS1-AP1-LS1-TC4-TS1,2,2,1,0,30,"""1ms""",6,20,2,1,"""8000p""",46318,1
MS1-AP0-LS1-TC5-TS1,4,4,1,0,30,"""1ms""",6,20,2,0,"""8000p""",46318,1
MS1-AP1-LS1-TC5-TS1,4,4,1,0,30,"""1ms""",6,20,2,1,"""8000p""",46318,1
MS1-AP0-LS1-TC1-TS2,1,0,1,0,30,"""5ms""",6,20,2,0,"""8000p""",46318,1
MS1-AP1-LS1-TC1-TS2,1,0,1,0,30,"""5ms""",6,20,2,1,"""8000p""",46318,1
MS1-AP0-LS1-TC2-TS2,0,1,1,0,30,"""5ms""",6,20,2,0,"""8000p""",46318,1
MS1-AP1-LS1-TC2-TS2,0,1,1,0,30,"""5ms""",6,20,2,1,"""8000p""",46318,1
MS1-AP0-LS1-TC3-TS2,1,1,1,0,30,"""5ms""",6,20,2,0,"""8000p""",46318,1
MS1-AP1-LS1-TC3-TS2,1,1,1,0,30,"""5ms""",6,20,2,1,"""8000p""",46318,1
MS1-AP0-LS1-TC4-TS2,2,2,1,0,30,"""5ms""",6,20,2,0,"""8000p""",46318,1
MS1-AP1-LS1-TC4-TS2,2,2,1,0,30,"""5ms""",6,20,2,1,"""8000p""",46318,1
MS1-AP0-LS1-TC5-TS2,4,4,1,0,30,"""5ms""",6,20,2,0,"""8000p""",46318,1
MS1-AP1-LS1-TC5-TS2,4,4,1,0,30,"""5ms""",6,20,2,1,"""8000p""",46318,1
MS1-AP0-LS1-TC1-TS3,1,0,1,0,30,"""25ms""",6,20,2,0,"""8000p""",46318,1
MS1-AP1-LS1-TC1-TS3,1,0,1,0,30,"""25ms""",6,20,2,1,"""8000p""",46318,1
MS1-AP0-LS1-TC2-TS3,0,1,1,0,30,"""25ms""",6,20,2,0,"""8000p""",46318,1
MS1-AP1-LS1-TC2-TS3,0,1,1,0,30,"""25ms""",6,20,2,1,"""8000p""",46318,1
MS1-AP0-LS1-TC3-TS3,1,1,1,0,30,"""25ms""",6,20,2,0,"""8000p""",46318,1
